OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR
110,Nps_429,Triangle,NACE,840,"Pennsylvania  Ave., Between Potomac & 14th sts., SE", ,,NPS,054,,374.732555094623,2205.86130614911,1044,,0000,RES 053A0000,
111,Nps_428,Center Parking,NACE,840,"Pennsylvania  Ave., Between 13th & 14th sts., SE", ,,NPS,053A,,122.805353771022,584.839584286886,1044,,0000,RES 053A0000,
112,Nps_389,Center Parking,NACE,840,"Pennsylvania Ave., Between 2nd & 3rd Sts.SE",8,,NPS,037A,,78.3170889650532,178.777642548826,0762,,0000,RES 00370000,
113,Nps_391,Center Parking,NACE,840,"Pennsylvania Ave., Between 2nd & 3rd Sts.SE",8,,NPS,037A,,45.1016067036525,97.6585784885608,0762,,0000,RES 00370000,
114,Nps_508,Washington Monument & Grounds,NACC,807,"14th To 17th Sts., E St. To Constitution Ave., NW",1,,NPS,002,Washington Monument & Grounds,3272.26686473369,422503.536213325,0000,,0000,RES 00020000,
115,Nps_372,Triangle,ROCR,892,"3rd st., Between Pennsylvania & Constitution Ave.,","3, 8",,NPS,553,,122.544975002707,759.580184952491,0533,S,0000,RES 05530000,
116,Nps_053,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,141.684944078039,953.179228694589,MULTI-SQUARES,,0000,RES 05150000,
117,Nps_057,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,156.515319565581,818.012174937464,MULTI-SQUARES,,0000,RES 05150000,
118,Nps_059,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,397.944135206748,7334.97608319058,MULTI-SQUARES,,0000,RES 05150000,
119,Nps_034,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,114.525857046231,779.45617647529,"2027,2290",,0000,RES 05150000,
120,Nps_032,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,806.819473341306,22421.1895035468,"2027,2290",,0000,RES 05150000,
121,Nps_299,Triangle,NACC,875,"Massachusetts Ave., Between 1st & G Sts., NW",8,,NPS,077A,,132.961419366852,352.006829312778,0000,,0000,RES 077B0000,
122,Nps_306,Triangle,NACC,875,"Massachusetts Ave., Between New Jersey Ave. & G St.",8,,NPS,077B,,92.9988533841805,301.855399419971,0000,,0000,RES 077A0000,
123,Nps_132,Park,ROCR,821,North Side Of Zoo,"8, 9",,NPS,563,,252.568547456603,3512.84302907354,2587,W,0814,2587W   0814,
124,Nps_116,Park,ROCR,821,North Side Of Zoo,"8, 9",,NPS,563,,7339.41966182743,624084.149403201,PAR ,,0006,PAR 00670006,0067
125,Nps_147,Curb Parking,ROCR,878,"Ashmeade Pl., Between Connecticut Ave. & Kalorama Rd.",8,,NPS,303D,,148.395989677225,881.691723292245,0000,,0000,RES 303D0000,
126,Nps_161,Triangle,ROCR,878,"Connecticut Ave., Between Columbia Rd. & California. St.",8,,NPS,303,,160.405921329593,717.639807840313,2356,S,0000,RES 03030000,
127,Nps_152,Triangle,NACC,877,"Florida Ave., Between V st. & West Of Ontario Rd., NW",1,,NPS,271,,53.6547090854894,90.6286609781984,0000,,0000,RES 02710000,
128,Nps_178,Triangle,NACC,876,"Vermont Ave. & 11th St., North Of R St. NW",8,,NPS,167,,21.435290851823,25.6558145768201,0000,,0000,RES 01670000,
129,Nps_177,Triangle,NACC,893,"Vermont Ave & 11th St., South Of S St., NW",8,,NPS,682,,112.044583874477,322.13540092359,0000,,0000,RES 06820000,
130,Nps_171,Triangle,NACC,893,"Vermont Ave. & 11th St., North Of S St., NW",8,,NPS,683,,95.8893608195383,258.391331634969,0000,,0000,RES 06830000,
131,Nps_206,Triangle,NACC,877,"Florida Ave., Between P & West Of 1st Sts., NE",1,,NPS,278,,27.8341004610013,29.1877005942563,0000,,0000,RES 02780000,
132,Nps_218,Triangle,NACC,877,"Florida Ave., Between N & West Of 4th Sts., NE",1,,NPS,279,,26.1007237651319,36.4185366061179,0000,,0000,RES 02790000,
133,Nps_209,Triangle,NACC,876,"New York Ave., Between 1st & O Sts., NE",1,,NPS,184,,65.2343306716652,158.640413273129,0000,,0000,RES 01840000,
134,Nps_318,Judiciary Square,NACC,0,"D To G Sts., & 4th To 5th Sts., NW",1,1970-02-11T00:00:00.000Z,NPS,007,Judiciary Square,420.487224461413,8634.610886397,0488,E,0800,0488E   0800,
135,Nps_348,Triangle,NACC,875,"Virginia Ave., Between 19th & C Sts., NW",1,,NPS,108,,212.83465607699,1349.79019395849,0128,,0000,RES 01080000,
136,Nps_232,Old stone House,ROCR,864,"3051 M St., NE",6,,NPS,693,Old stone House,205.664244354605,1690.02969850367,1209,,0000,RES 06930000,
137,Nps_093,Melvin C. Hazen Park,ROCR,861,"South Of Tilden St., East & West Of Connecticut Ave., NW",6,,NPS,630,Melvin C. Hazen Park,3457.65031363081,168113.80952833,,,0000,RES 06300000,
138,Nps_462,Center Parking,NACE,892,"Pennsylvania Ave., East Of Prout St., SE", ,,NPS,487D,,80.6947675656688,252.108894105953,5560,,0000,RES 04870000,
139,Nps_461,Center Parking,NACE,892,"Pennsylvania Ave., West Of Minnesota., SE", ,,NPS,487C,,199.819478236852,1324.61282667819,5560,,0000,RES 04870000,
140,Nps_523,Piney Branch Portal,ROCR,892,"Piney Branch Rd. & Eastern Ave., NW",8,,NPS,531,Piney Branch Portal,349.58092548665,2208.00965250988,3350,,0000,RES 05310000,
141,Nps_524,Piney Branch Portal,ROCR,892,"Piney Branch Rd. & Eastern Ave., NW",8,,NPS,531,Piney Branch Portal,166.461094073399,1452.13375883318,3350,,0000,RES 05310000,
142,Nps_503,Square E. 667,NACE,878,"Half & North Side Of V sts., SW",1,,NPS,295,,310.180370762661,4357.57564022046,0667,E,0000,RES 02950000,
143,Nps_502,Triangle,NACE,892,"Water & V Sts., At Bulkhead, SE",10,,NPS,562,,153.819196021906,710.415447160642,0667,E,0000,RES 02950000,
144,Nps_460,Center Parking,NACE,892,"Pennsylvania Ave., East Of Minnesota., SE", ,,NPS,487B,,218.024660518028,1888.42350397101,5556,,0000,RES 04870000,
145,Nps_474,Fort Circle Park,NACE,832,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,748.995263944421,33644.8476496413,5634,,0804,5634    0804,
146,Nps_278,Triangle,NACE,878,"Florida Ave., & I st., West Of Orren St., NE",1,,NPS,283,,34.9799651811845,46.4645928247587,0000,,0000,RES 02830000,
